sentence1,sentence2,label,ticket_id,issue_category,ground_truth_primary_issue_category,ground_truth_resolution_state
"New hire missing email, VPN, and ERP app access","Cause: outdated profile. Fix: updated client profile, resolved connection issue.",0.0,TDX-10021,account_locked,onboarding_offboarding,resolved
Computer reboots with blue screen before sign-in.,Cause: Faulty driver update. Fix: Removed bad driver and applied approved version.,1.0,TDX-10022,hardware_issue,workstation_failure,resolved
Computer reboots with blue screen before sign-in.,Cause: File deleted and not recoverable via normal recycle bin. Fix: Recovered file from prior snapshot and placed back in shared folder.,0.0,TDX-10022,hardware_issue,workstation_failure,resolved
MFA code not working,Cause: Device token out of sync. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10023,account_locked,mfa_issue,resolved
MFA code not working,Cause: Device compliance policy update issue. Fix: Resync device record and force policy evaluation.,0.0,TDX-10023,account_locked,mfa_issue,resolved
"New hire missing email, VPN, and ERP app access.",Cause: Identity workflow did not finish pushing all entitlements. Fix: Reran provisioning task to assign missing access.,1.0,TDX-10026,account_locked,onboarding_offboarding,resolved
"New hire missing email, VPN, and ERP app access.","Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",0.0,TDX-10026,account_locked,onboarding_offboarding,resolved
Outlook desktop client not loading mailbox,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,1.0,TDX-10027,email_issue,email_issue,resolved
Outlook desktop client not loading mailbox,Cause: Outdated VPN client profile. Fix: Updated the profile and reconnected.,0.0,TDX-10027,email_issue,email_issue,resolved
Outlook keeps asking for password,Cause: Stale local credentials in Outlook. Fix: Cleared Outlook credential cache and re-added account.,1.0,TDX-10028,email_issue,email_issue,resolved
Outlook keeps asking for password,Cause: Endpoint not properly registered with call manager. Fix: Refreshing phone provisioning record.,0.0,TDX-10028,email_issue,email_issue,resolved
Reset link expired and not working,Cause: Previous token expired. Fix: Generated fresh password reset link.,1.0,TDX-10029,password_reset,password_reset,resolved
Reset link expired and not working,Cause: Corrupted local profile data. Fix: Rebuilt application's local profile data.,0.0,TDX-10029,password_reset,password_reset,resolved
Account locked due to repeated failed sign-ins.,Cause: Repeated failed sign-ins. Fix: Account unlocked by IT support.,1.0,TDX-10030,account_locked,account_locked,resolved
Account locked due to repeated failed sign-ins.,Cause: Group membership change needed. Fix: Added correct access group to account.,0.0,TDX-10030,account_locked,account_locked,resolved
API response format changed and client service not handling it.,Cause: API contract change. Fix: Roll forward client configuration to current API contract.,1.0,TDX-10031,network_issue,api_failure,resolved
API response format changed and client service not handling it.,Cause: Outdated VPN profile. Fix: Received and applied updated profile.,0.0,TDX-10031,network_issue,api_failure,resolved
Received a suspicious email about payroll or invoice review.,Cause: Sender impersonation from outside the organization. Fix: Message confirmed as phishing and removed from mailboxes; no compromise steps required because user did not click link.,1.0,TDX-10032,phishing_report,phishing_report,resolved
Received a suspicious email about payroll or invoice review.,Cause: Stale local printer mapping. Fix: Removed and re-added the printer.,0.0,TDX-10032,phishing_report,phishing_report,resolved
Keyboard and mouse keep disconnecting from the dock.,"Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",1.0,TDX-10033,hardware_issue,peripheral_issue,resolved
Keyboard and mouse keep disconnecting from the dock.,Cause: Corrupted local profile data. Fix: Rebuilt application's local profile data.,0.0,TDX-10033,hardware_issue,peripheral_issue,resolved
"onboarding request incomplete, business app access missing",Cause: provisioning task queued. Fix: re-ran provisioning task.,1.0,TDX-10035,account_locked,onboarding_offboarding,resolved
"onboarding request incomplete, business app access missing",Cause: Previous token had expired. Fix: Issued new reset email and removed expired token from account.,0.0,TDX-10035,account_locked,onboarding_offboarding,resolved
API response format changed and client no longer handles it.,Cause: API response payload change from upstream service. Fix: Update downstream service to match new response format.,1.0,TDX-10036,network_issue,api_failure,resolved
API response format changed and client no longer handles it.,Cause: Repeated failed sign-ins. Fix: Account unlocked by IT support.,0.0,TDX-10036,network_issue,api_failure,resolved
Reported suspicious email asking for credentials,Cause: Sender impersonation from outside. Fix: Quarantined message and blocked similar patterns.,1.0,TDX-10038,phishing_report,phishing_report,resolved
Reported suspicious email asking for credentials,Cause: Corrupted local profile data for the application. Fix: Rebuilt the application's local profile data.,0.0,TDX-10038,phishing_report,phishing_report,resolved
Print jobs stuck on shared department printer.,"Cause: Local printer mapping stale. Fix: Removed and re-added the printer, test page printed successfully.",1.0,TDX-10039,printer_issue,printer_issue,resolved
Print jobs stuck on shared department printer.,"Cause: Dock firmware outdated. Fix: Updated dock firmware, stabilized USB ports.",0.0,TDX-10039,printer_issue,printer_issue,resolved
Installer says no permission for software request.,"Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",1.0,TDX-10040,permission_issue,software_install,resolved
Installer says no permission for software request.,"Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes, no compromise.",0.0,TDX-10040,permission_issue,software_install,resolved
Account locked after too many failed sign-ins.,Cause: Repeated failed sign-ins. Fix: Account unlocked by IT support.,1.0,TDX-10042,account_locked,account_locked,resolved
Account locked after too many failed sign-ins.,Cause: Account missing required security group. Fix: Added correct access group to account.,0.0,TDX-10042,account_locked,account_locked,resolved
Cannot reset password due to expired token.,Cause: Previous reset token had expired. Fix: Issued new reset email and removed expired token from account.,1.0,TDX-10043,password_reset,password_reset,resolved
Cannot reset password due to expired token.,Cause: Corrupted local profile data for the application. Fix: Rebuilt the application's local profile data.,0.0,TDX-10043,password_reset,password_reset,resolved
"VPN fails after authentication, connection error",Cause: Outdated VPN client profile. Fix: Updated the profile and reconnected.,1.0,TDX-10044,vpn_issue,vpn_issue,resolved
"VPN fails after authentication, connection error",Cause: Previous token had expired. Fix: Generated fresh password reset link and it worked.,0.0,TDX-10044,vpn_issue,vpn_issue,resolved
Browser cannot connect to proxy server,Cause: Proxy settings misconfigured. Fix: Corrected proxy settings.,1.0,TDX-10045,network_issue,internet_access,resolved
Browser cannot connect to proxy server,"Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",0.0,TDX-10045,network_issue,internet_access,resolved
"API response format changed, client couldn't handle it.",Cause: API response payload change from upstream broke downstream parser. Fix: Updated downstream service to match upstream response format.,1.0,TDX-10046,software_access,api_failure,resolved
"API response format changed, client couldn't handle it.",Cause: Device compliance policy update issue. Fix: Resync device record and force policy evaluation.,0.0,TDX-10046,software_access,api_failure,resolved
Application crashes on launch.,Cause: Corrupted local profile data. Fix: Rebuilt application's local profile data.,1.0,TDX-10047,software_access,application_crash,resolved
Application crashes on launch.,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,0.0,TDX-10047,software_access,application_crash,resolved
"Printer queue stuck, printer appears offline.","Cause: Local printer mapping stale. Fix: Removed and re-added printer, test page printed successfully.",1.0,TDX-10048,printer_issue,printer_issue,resolved
"Printer queue stuck, printer appears offline.","Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",0.0,TDX-10048,printer_issue,printer_issue,resolved
Desk phone shows unregistered and cannot place calls.,Cause: Endpoint not properly registered with the call manager. Fix: Refreshing the phone provisioning record.,1.0,TDX-10052,software_access,voip_telephony,resolved
Desk phone shows unregistered and cannot place calls.,Cause: Local printer mapping stale. Fix: Clear queue and reinstall printer mapping.,0.0,TDX-10052,software_access,voip_telephony,resolved
Received a suspicious phishing email.,Cause: Email matched known phishing pattern. Fix: Quarantined message and blocked similar sender patterns.,1.0,TDX-10053,phishing_report,phishing_report,resolved
Received a suspicious phishing email.,Cause: Previous reset token had expired. Fix: Issued new reset email and removed expired token from account.,0.0,TDX-10053,phishing_report,phishing_report,resolved
Browser cannot reach external websites due to proxy error.,Cause: Old proxy configuration pointing to an incorrect address. Fix: Reset and reapply managed proxy settings.,1.0,TDX-10054,network_issue,internet_access,resolved
Browser cannot reach external websites due to proxy error.,Cause: Faulty driver update. Fix: Removed bad driver package and applied approved version.,0.0,TDX-10054,network_issue,internet_access,resolved
Application update fails before completion.,"Cause: Device not in approved install scope. Fix: Assign package properly to device, resulting in successful installation.",1.0,TDX-10059,permission_issue,software_install,resolved
Application update fails before completion.,Cause: Local application cache corrupted. Fix: Reset local application cache.,0.0,TDX-10059,permission_issue,software_install,resolved
password reset email not working due to expired token,Cause: previous token expired. Fix: issued new reset email and removed expired token.,1.0,TDX-10060,password_reset,password_reset,resolved
password reset email not working due to expired token,"Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",0.0,TDX-10060,password_reset,password_reset,resolved
Device not compliant with company policy,Cause: Device compliance policy update issue. Fix: Resync device record and force policy evaluation.,1.0,TDX-10065,permission_issue,mobile_device_issue,resolved
Device not compliant with company policy,Cause: Email matched known phishing pattern. Fix: Quarantined message and blocked similar sender patterns.,0.0,TDX-10065,permission_issue,mobile_device_issue,resolved
Cannot open shared team folder due to missing security group.,"Cause: Account missing required security group. Fix: Added correct access group, resolved issue.",1.0,TDX-10066,permission_issue,permission_issue,resolved
Cannot open shared team folder due to missing security group.,Cause: Device restarted unexpectedly. Fix: Provided stored recovery key and device unlocked.,0.0,TDX-10066,permission_issue,permission_issue,resolved
Desk phone shows unregistered and cannot place calls after update.,"Cause: Device not properly registered with call manager. Fix: Re-registered device on call manager, test calls working again.",1.0,TDX-10068,network_issue,voip_telephony,resolved
Desk phone shows unregistered and cannot place calls after update.,Cause: Faulty driver update. Fix: Removed bad driver and applied approved version.,0.0,TDX-10068,network_issue,voip_telephony,resolved
Print jobs stuck and printer offline,Cause: Old print path mapping. Fix: Clear queue and reinstall printer mapping.,1.0,TDX-10070,printer_issue,printer_issue,resolved
Print jobs stuck and printer offline,Cause: File overwritten. Fix: Recovered from backup and placed back in shared folder.,0.0,TDX-10070,printer_issue,printer_issue,resolved
Cannot access email from Outlook desktop app,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,1.0,TDX-10071,email_issue,email_issue,resolved
Cannot access email from Outlook desktop app,Cause: Outdated database credential. Fix: Updated application with current database secret.,0.0,TDX-10071,email_issue,email_issue,resolved
Print jobs stuck on shared department printer,"Cause: Old print path in local queue. Fix: Removed and re-added printer, test page printed successfully.",1.0,TDX-10073,printer_issue,printer_issue,resolved
Print jobs stuck on shared department printer,"Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes, no compromise.",0.0,TDX-10073,printer_issue,printer_issue,resolved
BitLocker recovery prompt after security-state change,Cause: Security-state change triggered BitLocker recovery. Fix: Using stored recovery key booted the laptop and resynced encryption protector.,1.0,TDX-10074,software_access,encryption_issue,resolved
BitLocker recovery prompt after security-state change,"Cause: Application not targeted correctly. Fix: Properly assign package to device, installation finished without errors.",0.0,TDX-10074,software_access,encryption_issue,resolved
"Printer jobs stuck, printer offline",Cause: Local printer mapping stale. Fix: Removed and re-added printer.,1.0,TDX-10075,printer_issue,printer_issue,resolved
"Printer jobs stuck, printer offline",Cause: Corrupted local profile data. Fix: Rebuilt application's local profile data.,0.0,TDX-10075,printer_issue,printer_issue,resolved
Two-factor login failing on phone app,Cause: MFA token drifted out of sync. Fix: Resynced the MFA token.,1.0,TDX-10077,account_locked,mfa_issue,resolved
Two-factor login failing on phone app,"Cause: outdated profile. Fix: updated client profile, resolved connection issue.",0.0,TDX-10077,account_locked,mfa_issue,resolved
Need deleted file restored,Cause: File deleted from shared folder. Fix: Recovered from backup and placed back in shared folder.,1.0,TDX-10078,other,data_recovery,resolved
Need deleted file restored,"Cause: Application not targeted correctly. Fix: Properly assign package to device, installation finished without errors.",0.0,TDX-10078,other,data_recovery,resolved
Permission denied accessing shared team folder,Cause: Group membership not current. Fix: Added correct access group.,1.0,TDX-10079,permission_issue,permission_issue,resolved
Permission denied accessing shared team folder,Cause: Email matched known phishing pattern. Fix: Quarantined message and blocked similar sender patterns.,0.0,TDX-10079,permission_issue,permission_issue,resolved
Docking station not detecting monitors,Cause: Outdated docking station firmware. Fix: Updated the docking station firmware and retested.,1.0,TDX-10080,hardware_issue,peripheral_issue,resolved
Docking station not detecting monitors,Cause: Account locked due to too many failed login attempts. Fix: Cleared the lockout and confirmed account can authenticate again.,0.0,TDX-10080,hardware_issue,peripheral_issue,resolved
Softphone client signs in but audio and calls do not connect.,"Cause: Endpoint not properly registered with call manager. Fix: Refreshed phone provisioning record, client registered successfully and calls connected.",1.0,TDX-10082,network_issue,voip_telephony,resolved
Softphone client signs in but audio and calls do not connect.,"Cause: Device not in approved install scope. Fix: Assign package properly to device, resulting in successful installation.",0.0,TDX-10082,network_issue,voip_telephony,resolved
Cannot establish connection after entering credentials,Cause: Outdated VPN profile. Fix: Received and applied updated profile.,1.0,TDX-10084,vpn_issue,vpn_issue,resolved
Cannot establish connection after entering credentials,"Cause: Old print path in local queue. Fix: Removed and re-added printer, test page printed successfully.",0.0,TDX-10084,vpn_issue,vpn_issue,resolved
Browser profile data corrupted,Cause: Corrupted browser profile data. Fix: Cleared corrupted browser profile data.,1.0,TDX-10085,other,browser_issue,resolved
Browser profile data corrupted,Cause: Outdated docking station firmware. Fix: Updated the docking station firmware and retested.,0.0,TDX-10085,other,browser_issue,resolved
Cannot complete two-factor sign-in,Cause: Token drifted out of sync. Fix: Reset MFA enrollment and re-registered authenticator app.,1.0,TDX-10086,account_locked,mfa_issue,resolved
Cannot complete two-factor sign-in,Cause: VPN profile on machine is expired. Fix: Sent updated profile and had user reconnect.,0.0,TDX-10086,account_locked,mfa_issue,resolved
Application cannot authenticate with database after maintenance.,Cause: Outdated database credential. Fix: Updated application to use current database secret.,1.0,TDX-10087,permission_issue,database_connection,resolved
Application cannot authenticate with database after maintenance.,"Cause: Outlook credential cache was cleared and account re-added. Fix: Credential cache cleared, account re-added; mailbox loads correctly.",0.0,TDX-10087,permission_issue,database_connection,resolved
Outlook keeps asking for password,"Cause: Outlook credential cache was cleared and account re-added. Fix: Credential cache cleared, account re-added; mailbox loads correctly.",1.0,TDX-10088,email_issue,email_issue,resolved
Outlook keeps asking for password,"Cause: Device stuck in noncompliant policy state. Fix: Resynced device record and forced policy evaluation, returned to compliant state.",0.0,TDX-10088,email_issue,email_issue,resolved
Dock's USB ports are unstable.,"Cause: Dock firmware outdated. Fix: Updated dock firmware, stabilized USB ports.",1.0,TDX-10089,hardware_issue,peripheral_issue,resolved
Dock's USB ports are unstable.,"Cause: Old print path on local machine. Fix: Removed and re-added printer, test page printed successfully.",0.0,TDX-10089,hardware_issue,peripheral_issue,resolved
Website fails in one browser with warning or login loop.,Cause: Stale site data in browser. Fix: Reset browser cache and cookies for that site.,1.0,TDX-10091,network_issue,browser_issue,resolved
Website fails in one browser with warning or login loop.,Cause: Device token out of sync with identity platform. Fix: Resync MFA token and verification prompt accepts code.,0.0,TDX-10091,network_issue,browser_issue,resolved
Reset link expired after clicking.,Cause: Previous token had expired. Fix: Issued new reset email and removed expired token from account.,1.0,TDX-10092,password_reset,password_reset,resolved
Reset link expired after clicking.,Cause: Stale local printer mapping. Fix: Removed and re-added the printer.,0.0,TDX-10092,password_reset,password_reset,resolved
"Softphone client unregistered, preventing outbound calls.",Cause: Endpoint not properly registered with call manager. Fix: Refreshing phone provisioning record.,1.0,TDX-10094,software_access,voip_telephony,resolved
"Softphone client unregistered, preventing outbound calls.",Cause: File overwritten. Fix: Recovered from backup and placed back in shared folder.,0.0,TDX-10094,software_access,voip_telephony,resolved
Low storage warnings on laptop,Cause: Local cache and temp files were oversized. Fix: Cleared local cache and temp files.,1.0,TDX-10096,network_issue,disk_space_full,resolved
Low storage warnings on laptop,"Cause: Dock firmware outdated. Fix: Updated dock firmware, stabilized USB ports.",0.0,TDX-10096,network_issue,disk_space_full,resolved
Cannot connect to expired VPN profile,Cause: VPN profile on machine is expired. Fix: Sent updated profile and had user reconnect.,1.0,TDX-10098,vpn_issue,vpn_issue,resolved
Cannot connect to expired VPN profile,Cause: File deleted from shared folder. Fix: Recovered from backup and placed back in shared folder.,0.0,TDX-10098,vpn_issue,vpn_issue,resolved
Email looked suspicious and urgent.,"Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes, no compromise steps required.",1.0,TDX-10101,phishing_report,phishing_report,resolved
Email looked suspicious and urgent.,Cause: Previous token had expired. Fix: Issued new reset email and removed expired token from account.,0.0,TDX-10101,phishing_report,phishing_report,resolved
API response format changed after deployment,Cause: Upstream API response payload change. Fix: Update downstream service to match upstream response format.,1.0,TDX-10102,network_issue,api_failure,resolved
API response format changed after deployment,Cause: VPN profile on machine is expired. Fix: Sent updated profile and had user reconnect.,0.0,TDX-10102,network_issue,api_failure,resolved
Laptop keeps disconnecting from secure staff Wi-Fi.,Cause: Device certificate expired. Fix: Renewed device certificate and re-applied Wi-Fi profile.,1.0,TDX-10103,network_issue,wifi_connectivity,resolved
Laptop keeps disconnecting from secure staff Wi-Fi.,Cause: File deleted and not recoverable via normal recycle bin. Fix: Recovered file from prior snapshot and placed back in shared folder.,0.0,TDX-10103,network_issue,wifi_connectivity,resolved
Managed mobile device work apps not opening.,"Cause: Device stuck in noncompliant policy state. Fix: Resynced device record and forced policy evaluation, returned to compliant state.",1.0,TDX-10106,network_issue,mobile_device_issue,resolved
Managed mobile device work apps not opening.,Cause: Application not targeted correctly. Fix: Corrected deployment scope and install completed successfully.,0.0,TDX-10106,network_issue,mobile_device_issue,resolved
MFA code not working,Cause: MFA token drifted out of sync. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10107,account_locked,mfa_issue,resolved
MFA code not working,"Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",0.0,TDX-10107,account_locked,mfa_issue,resolved
Program becomes unresponsive after update.,Cause: Local application cache corrupted. Fix: Reset local application cache.,1.0,TDX-10108,software_access,application_crash,resolved
Program becomes unresponsive after update.,Cause: Identity workflow failed to push entitlements. Fix: Completed downstream provisioning step.,0.0,TDX-10108,software_access,application_crash,resolved
Database connection failing due to expired secret.,Cause: Database secret expired. Fix: Updated application with current database secret and connections succeeded.,1.0,TDX-10109,password_reset,database_connection,resolved
Database connection failing due to expired secret.,Cause: Outdated database credential. Fix: Updated application with current database secret.,0.0,TDX-10109,password_reset,database_connection,resolved
Internal server service stopped,Cause: Critical application service on the server had stopped. Fix: Restarted the failed service and the environment came back online.,1.0,TDX-10110,network_issue,server_unavailable,resolved
Internal server service stopped,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,0.0,TDX-10110,network_issue,server_unavailable,resolved
Application update fails with permissions error.,"Cause: Application not targeted correctly. Fix: Properly assign package to device, installation finished without errors.",1.0,TDX-10112,permission_issue,software_install,resolved
Application update fails with permissions error.,"Cause: Old print path in local queue. Fix: Removed and re-added printer, test page printed successfully.",0.0,TDX-10112,permission_issue,software_install,resolved
Reported phishing email asking for credentials,"Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes, no compromise.",1.0,TDX-10114,phishing_report,phishing_report,resolved
Reported phishing email asking for credentials,Cause: Group membership not current. Fix: Added correct access group.,0.0,TDX-10114,phishing_report,phishing_report,resolved
Managed tablet says device is noncompliant and work apps will not open.,"Cause: Compliance policy did not update correctly. Fix: Refreshed the device policy in MDM, allowing work apps to open again.",1.0,TDX-10115,network_issue,mobile_device_issue,resolved
Managed tablet says device is noncompliant and work apps will not open.,Cause: Outdated docking station firmware. Fix: Updated the docking station firmware and tested.,0.0,TDX-10115,network_issue,mobile_device_issue,resolved
Desk phone not registering after update,Cause: Endpoint not properly registered with call manager. Fix: Refreshing phone provisioning record.,1.0,TDX-10117,network_issue,voip_telephony,resolved
Desk phone not registering after update,Cause: Repeated failed sign-ins. Fix: Account unlocked by IT support.,0.0,TDX-10117,network_issue,voip_telephony,resolved
Received a suspicious email that looked internal but was phishing.,Cause: Email matched known phishing pattern. Fix: Quarantined message and blocked similar sender patterns.,1.0,TDX-10118,phishing_report,phishing_report,resolved
Received a suspicious email that looked internal but was phishing.,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,0.0,TDX-10118,phishing_report,phishing_report,resolved
Printer unavailable on Avery's computer,"Cause: Old printer mapping. Fix: Removed and re-added printer, test page printed successfully.",1.0,TDX-10119,printer_issue,printer_issue,resolved
Printer unavailable on Avery's computer,Cause: Recent driver package is causing system instability. Fix: Rolled back problematic driver and workstation remained stable after reboot.,0.0,TDX-10119,printer_issue,printer_issue,resolved
Cannot join secure office wireless network,Cause: Machine certificate for secure Wi-Fi is no longer valid. Fix: Pushed new wireless certificate and had user reconnect.,1.0,TDX-10120,network_issue,wifi_connectivity,resolved
Cannot join secure office wireless network,Cause: Device restarted unexpectedly. Fix: Provided stored recovery key and device unlocked.,0.0,TDX-10120,network_issue,wifi_connectivity,resolved
"New hire missing email, VPN, and ERP app access.",Cause: Identity workflow did not finish pushing all entitlements. Fix: Reran provisioning task and assigned missing access.,1.0,TDX-10121,account_locked,onboarding_offboarding,resolved
"New hire missing email, VPN, and ERP app access.",Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,0.0,TDX-10121,account_locked,onboarding_offboarding,resolved
Desk phone unregistered after client update,Cause: Device not properly registered with call manager. Fix: Re-registered device on call manager and test calls working again.,1.0,TDX-10123,network_issue,voip_telephony,resolved
Desk phone unregistered after client update,Cause: Application not targeted correctly. Fix: Corrected deployment scope and install completed successfully.,0.0,TDX-10123,network_issue,voip_telephony,resolved
VPN connection fails after authentication,"Cause: outdated profile. Fix: updated client profile, resolved connection issue.",1.0,TDX-10124,vpn_issue,vpn_issue,resolved
VPN connection fails after authentication,Cause: Previous token had expired. Fix: Issued new reset email and removed expired token from account.,0.0,TDX-10124,vpn_issue,vpn_issue,resolved
Printer shows offline and stuck print jobs,Cause: Stale local printer mapping. Fix: Removed and re-added the printer.,1.0,TDX-10125,printer_issue,printer_issue,resolved
Printer shows offline and stuck print jobs,"Cause: outdated profile. Fix: updated client profile, resolved connection issue.",0.0,TDX-10125,printer_issue,printer_issue,resolved
Database connection failures and timeouts in app after recent change window.,Cause: Outdated database credential. Fix: Updated application with current database secret.,1.0,TDX-10126,permission_issue,database_connection,resolved
Database connection failures and timeouts in app after recent change window.,"Cause: Outdated docking station firmware. Fix: Updated docking station firmware, peripherals stayed connected after retesting.",0.0,TDX-10126,permission_issue,database_connection,resolved
Reported a possible phishing email,Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes.,1.0,TDX-10127,phishing_report,phishing_report,resolved
Reported a possible phishing email,Cause: Stale local credentials in Outlook. Fix: Cleared Outlook credential cache and re-added account.,0.0,TDX-10127,phishing_report,phishing_report,resolved
Printer appears offline and print jobs are stuck.,Cause: Local printer mapping stale. Fix: Clear queue and reinstall printer mapping.,1.0,TDX-10128,printer_issue,printer_issue,resolved
Printer appears offline and print jobs are stuck.,Cause: Reset token was no longer valid. Fix: Generated fresh password reset link and it worked.,0.0,TDX-10128,printer_issue,printer_issue,resolved
Application freezes after update.,Cause: Corrupted local profile data. Fix: Rebuilt application's local profile data.,1.0,TDX-10129,software_access,application_crash,resolved
